领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),414,科威特,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,26.51,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),400,约旦,5510,Production,1221,西瓜,2022,2022,t,111759.28,A,Officialfigure,
SCL,供应利用账目(2010-),400,约旦,5910,出口数量,1221,西瓜,2022,2022,t,6891.4,I,Imputedvalue,
SCL,供应利用账目(2010-),400,约旦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,97044.88,E,Estimatedvalue,
SCL,供应利用账目(2010-),400,约旦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,4.82,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),400,约旦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,23.56,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),104,缅甸,5610,进口数量,1221,西瓜,2022,2022,t,26.94,A,Officialfigure,
SCL,供应利用账目(2010-),104,缅甸,5910,出口数量,1221,西瓜,2022,2022,t,85010.19,A,Officialfigure,
SCL,供应利用账目(2010-),418,老挝,5510,Production,1221,西瓜,2022,2022,t,145440,A,Officialfigure,
SCL,供应利用账目(2010-),418,老挝,5610,进口数量,1221,西瓜,2022,2022,t,386.51,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
